what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362858557050
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362858617224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362858622676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362858624846
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362858633780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362858675843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362858682121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362858683261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362858686363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362858704749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362858795015
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1362858845099
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362858845209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362858845609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362858847519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362858848069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362858848409
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362858848809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362858851681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362859961956
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362860148954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362860150514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362860155084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362860167112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362860168767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362860181434
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362860305532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860311788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860313800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860315719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860318464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362860326654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362860332879
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860338245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860339384
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860340211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860341162
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362860354079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860357231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860359134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860361053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860363081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362860367979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860370537
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860371707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860373299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362860374531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362860381239
