what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365633315775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365634019607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365634020902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365636324375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365636326388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365636334687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365636337200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645176629
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1365645189172
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1365645190981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645196566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645196847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645199296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645203024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645203165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645203915
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645203930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645204461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645621412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645734204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645988500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645992228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365645993227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646002197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646013406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646015247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646016854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646017462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646018305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646018664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646018913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646019366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646022579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646022954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646023500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646023546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646024155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646025169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646027649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646027899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646029396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646031378
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646034591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646035590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646036198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646036292
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646036838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646036978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646037462
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646037649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646038444
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646038585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646042594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646043218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646045012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646045074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646045168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646045371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646049099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646049474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646049536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646049630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646049895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646050004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646052750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646052781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365646054435
error,log,,,"Widget disposed too early for part org.eclipse.ui.views.ProblemView",1365646073854
error,log,,,"Widget disposed too early for part org.eclipse.ui.views.ContentOutline",1365646073932
error,log,,,"Widget disposed too early for part org.eclipse.ui.console.ConsoleView",1365646074057
error,log,,,"Widget disposed too early for part org.eclipse.jdt.ui.PackageExplorer",1365646074104
error,log,,,"Widget disposed too early for part org.eclipse.jdt.ui.CompilationUnitEditor",1365646074135
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1365646075414
